,club,league,age,BMI,nationality,potential,pac,sho,pas,dri,def,phy,international_reputation,skill_moves,weak_foot,work_rate_att,work_rate_def,preferred_foot,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,rw,rb,st,lw,cf,cam,cm,cdm,cb,lb,gk,y
0,293,25,24.610958904109587,22.981901752370007,78,73,65,60,63,67,47,59,1,3,3,1,1,1,60,63,56,70,50,69,58,54,69,68,64,65,57,65,71,64,52,65,59,52,54,28,61,55,59,43,60,52,5,14,6,13,10,64.0,56.0,63.0,64.0,64.0,64.0,63.0,57.0,53.0,56.0,,70.0
1,258,24,36.654794520547945,22.093170054286077,51,62,56,39,60,63,63,57,1,2,3,1,2,1,69,51,40,68,23,62,32,32,57,64,57,55,59,69,66,22,57,62,58,28,49,66,56,55,36,62,70,64,9,15,6,13,14,60.0,64.0,52.0,60.0,57.0,59.0,61.0,64.0,61.0,64.0,,24.0
2,112,3,21.934246575342467,22.024322512687924,52,68,68,57,39,55,19,48,1,2,3,1,1,2,29,64,56,44,40,54,35,29,30,54,65,71,58,56,72,46,61,59,48,52,32,18,55,49,68,18,11,14,8,9,11,8,10,54.0,36.0,56.0,54.0,55.0,53.0,45.0,34.0,31.0,36.0,,17.0
3,604,9,32.81095890410959,24.724520008546747,54,81,76,74,74,77,77,76,3,3,3,2,2,1,64,72,80,81,75,77,66,72,76,81,76,76,70,81,64,79,88,92,69,76,69,78,75,75,71,77,78,73,16,16,11,6,8,76.0,78.0,77.0,76.0,77.0,77.0,79.0,78.0,77.0,78.0,,1750.0
4,80,37,40.78904109589041,23.40750912892856,96,72,40,62,74,71,65,67,2,3,2,1,1,2,74,58,53,74,60,70,71,70,75,75,49,33,65,72,75,67,51,55,74,65,69,69,59,75,71,64,68,67,15,10,16,16,16,66.0,64.0,62.0,66.0,65.0,68.0,71.0,70.0,66.0,64.0,,97.5
5,213,35,39.794520547945204,22.6473769605192,43,67,67,47,64,65,65,65,1,2,4,1,1,1,66,29,64,66,48,64,65,41,65,63,68,66,72,66,67,67,75,76,64,64,50,63,33,64,65,66,64,65,15,8,11,11,14,59.0,66.0,54.0,59.0,57.0,60.0,63.0,65.0,64.0,66.0,,16.0
6,458,12,29.742465753424657,20.6758034026465,101,67,87,64,53,65,30,67,1,2,3,1,1,1,37,67,59,63,60,62,58,31,51,64,86,87,83,51,69,64,86,66,63,62,75,19,54,55,66,16,39,34,13,10,13,8,11,63.0,47.0,63.0,63.0,63.0,62.0,56.0,47.0,45.0,47.0,,57.5
7,543,29,25.224657534246575,24.111507464658477,155,72,73,47,54,62,56,61,1,2,3,1,1,1,41,44,48,62,36,61,39,35,59,63,74,73,67,53,74,51,56,55,67,52,56,58,53,57,43,57,57,58,8,10,15,12,10,58.0,58.0,55.0,58.0,58.0,59.0,58.0,59.0,58.0,58.0,,32.5
8,148,9,30.054794520547944,23.547880690737834,1,76,69,75,59,74,31,68,1,3,3,2,2,1,51,73,66,64,71,74,66,54,59,76,68,69,72,71,67,80,71,63,72,76,64,33,72,60,70,13,39,25,7,16,7,9,14,69.0,49.0,72.0,69.0,71.0,69.0,64.0,51.0,47.0,49.0,,500.0
9,188,5,27.046575342465754,22.545959070412763,163,71,65,34,43,52,62,69,1,2,4,1,1,1,36,30,61,55,27,47,31,25,44,54,62,68,60,56,63,50,80,62,77,28,54,62,29,38,38,63,62,61,14,8,12,5,8,46.0,58.0,47.0,46.0,46.0,46.0,49.0,57.0,63.0,58.0,,55.0
10,9,4,32.76438356164383,21.73650525298877,138,72,74,70,65,72,53,71,1,3,3,2,2,1,67,73,72,65,66,72,69,61,63,72,73,74,69,74,68,68,82,80,64,67,74,55,72,65,71,39,59,49,8,8,14,7,10,71.0,63.0,71.0,71.0,71.0,70.0,68.0,62.0,60.0,63.0,,320.0
11,83,28,34.52876712328767,23.11616537357849,5,64,64,68,57,60,47,67,1,1,3,1,1,1,11,10,13,32,9,11,14,10,23,19,48,47,32,51,34,24,66,43,73,12,18,9,18,28,23,19,13,23,64,68,57,67,60,,,,,,,,,,,64.0,29.0
12,415,32,29.164383561643834,22.15910864205237,63,70,66,55,64,68,66,75,1,2,3,1,1,1,57,47,62,72,46,68,57,40,71,70,67,66,62,66,72,80,74,78,74,53,72,67,57,61,49,66,66,67,15,9,15,15,12,63.0,67.0,63.0,63.0,64.0,64.0,67.0,69.0,68.0,67.0,,110.0
13,593,11,22.843835616438355,22.152646502835537,29,68,65,44,50,55,34,50,1,2,3,1,1,1,41,43,42,56,41,54,44,35,50,53,68,63,64,53,70,51,56,50,51,38,44,22,42,54,47,31,38,44,15,7,11,8,8,52.0,45.0,49.0,52.0,51.0,52.0,49.0,44.0,41.0,45.0,,6.0
14,359,26,29.21095890410959,21.200991370300695,64,74,74,56,71,71,71,73,1,2,3,2,1,2,71,55,69,72,61,71,62,42,74,73,77,71,61,81,62,64,63,85,71,52,67,67,66,76,42,71,77,64,7,16,13,7,9,70.0,73.0,67.0,70.0,69.0,70.0,73.0,73.0,71.0,73.0,,500.0
15,365,10,31.334246575342465,23.301094832264038,111,64,76,41,53,54,61,69,1,2,4,1,1,2,55,36,51,56,38,51,42,41,55,49,76,76,70,57,72,55,61,79,73,39,48,59,41,48,39,62,66,60,6,7,11,13,11,53.0,62.0,51.0,53.0,51.0,51.0,54.0,59.0,60.0,62.0,,35.0
16,221,34,32.15890410958904,22.91760977818017,90,70,68,71,66,71,52,65,1,1,3,1,1,1,10,10,14,31,16,16,10,13,13,21,49,55,45,59,40,16,75,27,69,14,21,19,10,22,11,10,14,10,68,71,66,65,71,,,,,,,,,,,69.0,85.0
17,584,10,28.764383561643836,22.790357925493062,111,65,77,59,56,65,43,59,1,4,3,1,1,1,60,59,34,56,50,66,52,57,54,63,75,79,63,55,73,63,49,73,53,60,57,43,53,56,45,43,45,48,11,8,11,12,10,62.0,55.0,58.0,62.0,60.0,60.0,57.0,53.0,48.0,55.0,,45.0
